week_start,sector,etf,action,momentum_score,entry_price,exit_price,pnl_pct
2025-02-10,Communication,XLC,buy,0.077132,101.784,,
2025-02-18,Financials,XLF,sell,0.08643273866391143,50.7578,50.7285,-0.1577
2025-02-18,Consumer Staples,XLP,buy,0.047385,77.2398,,
2025-03-03,Communication,XLC,sell,0.07713177414778483,101.784,100.5267,-1.334
2025-03-03,Real Estate,XLRE,buy,0.0507,41.2178,,
2025-03-10,Consumer Staples,XLP,sell,0.04738460077795925,77.2398,79.7777,3.1824
2025-03-10,Real Estate,XLRE,sell,0.05070033298603138,41.2178,40.3896,-2.1072
2025-03-24,Energy,XLE,buy,0.028853,44.3558,,
2025-03-24,Industrials,XLI,buy,0.00352,131.3325,,
2025-03-31,Energy,XLE,sell,0.028852760297319424,44.3558,44.3606,-0.0891
2025-03-31,Industrials,XLI,sell,0.0035201175890264835,131.3325,127.11,-3.3119
2025-05-12,Technology,XLK,buy,0.147971,112.6362,,
2025-05-12,Consumer Discretionary,XLY,buy,0.119914,105.5438,,
2025-05-27,Consumer Discretionary,XLY,sell,0.1199136089113757,105.5438,105.4696,-0.1702
2025-05-27,Industrials,XLI,buy,0.107154,140.2501,,
2025-06-02,Industrials,XLI,sell,0.10715362536571216,140.2501,140.3879,-0.0018
2025-06-02,Consumer Discretionary,XLY,buy,0.063893,105.5488,,
2025-06-09,Consumer Discretionary,XLY,sell,0.06389325722182604,105.5488,104.6824,-0.92
2025-06-09,Communication,XLC,buy,0.064108,102.5384,,
2025-06-16,Communication,XLC,sell,0.06410784293178451,102.5384,101.7602,-0.8582
2025-06-16,Energy,XLE,buy,0.027609,42.2588,,
2025-06-30,Energy,XLE,sell,0.027608705898682917,42.2588,41.2012,-2.6
2025-06-30,Communication,XLC,buy,0.072913,107.1919,,
2025-07-07,Communication,XLC,sell,0.07291331426585757,107.1919,106.5006,-0.7442
2025-07-07,Energy,XLE,buy,0.061331,41.9431,,
2025-07-14,Energy,XLE,sell,0.061330705836799115,41.9431,43.1359,2.7411
2025-07-14,Industrials,XLI,buy,0.052896,148.279,,
2025-07-21,Industrials,XLI,sell,0.05289604684581195,148.279,149.9969,1.0574
2025-07-21,Consumer Discretionary,XLY,buy,0.061774,110.6007,,
2025-07-28,Consumer Discretionary,XLY,sell,0.06177430348897528,110.6007,111.9998,1.1638
2025-07-28,Industrials,XLI,buy,0.052592,153.0969,,
2025-08-04,Industrials,XLI,sell,0.052592084317482746,153.0969,148.3481,-3.1987
2025-08-04,Utilities,XLU,buy,0.064748,41.9404,,
2025-08-18,Technology,XLK,sell,0.1479707636217955,112.6362,131.9923,17.0675
2025-08-18,Utilities,XLU,sell,0.06474810443861423,41.9404,41.7118,-0.6445
2025-08-18,Healthcare,XLV,buy,0.036616,134.1863,,
2025-08-18,Consumer Discretionary,XLY,buy,0.030195,113.4089,,
2025-08-25,Healthcare,XLV,sell,0.03661609327828752,134.1863,135.7687,1.0781
2025-08-25,Communication,XLC,buy,0.041573,109.8288,,
2025-09-02,Communication,XLC,sell,0.04157330553056382,109.8288,108.5844,-1.2318
2025-09-02,Energy,XLE,buy,0.059953,43.7129,,
2025-09-08,Consumer Discretionary,XLY,sell,0.030194622393620474,113.4089,117.254,3.2872
2025-09-08,Energy,XLE,sell,0.05995309389337167,43.7129,42.5007,-2.8703
2025-09-08,Communication,XLC,buy,0.066803,112.8014,,
2025-09-08,Healthcare,XLV,buy,0.059081,135.1003,,
2025-09-15,Healthcare,XLV,sell,0.059081185175819506,135.1003,135.8866,0.4814
2025-09-15,Consumer Discretionary,XLY,buy,0.050908,120.2854,,
2025-09-22,Consumer Discretionary,XLY,sell,0.05090811191139899,120.2854,119.6825,-0.6007
2025-09-22,Technology,XLK,buy,0.078513,138.5267,,
2025-10-06,Communication,XLC,sell,0.0668028704429049,112.8014,115.1967,2.0214
2025-10-06,Utilities,XLU,buy,0.093854,43.7947,,
2025-10-20,Technology,XLK,sell,0.07851252857259938,138.5267,142.755,2.9493
2025-10-20,Healthcare,XLV,buy,0.059723,141.8989,,
2025-10-27,Utilities,XLU,sell,0.09385448431678678,43.7947,44.7545,2.0895
2025-10-27,Technology,XLK,buy,0.0666,148.2632,,
2025-11-03,Healthcare,XLV,sell,0.059723409436854835,141.8989,142.2444,0.1433
2025-11-03,Consumer Discretionary,XLY,buy,0.009504,120.4827,,
2025-11-10,Technology,XLK,sell,0.06660020868578331,148.2632,146.0769,-1.5731
2025-11-10,Consumer Discretionary,XLY,sell,0.009503986015194199,120.4827,118.3853,-1.8391
2025-11-10,Energy,XLE,buy,0.04596,43.9001,,
2025-11-10,Healthcare,XLV,buy,0.037548,143.9426,,
2025-12-01,Energy,XLE,sell,0.04595970820247741,43.9001,44.2962,0.8015
2025-12-01,Materials,XLB,buy,0.040971,44.0494,,
2025-12-08,Materials,XLB,sell,0.040971338528100976,44.0494,43.4968,-1.3532
2025-12-08,Communication,XLC,buy,0.037017,116.5246,,
2025-12-15,Healthcare,XLV,sell,0.03754847329665445,143.9426,152.5126,5.8479
2025-12-15,Communication,XLC,sell,0.03701725524455246,116.5246,115.7814,-0.7372
2025-12-15,Consumer Discretionary,XLY,buy,0.054442,120.9946,,
2025-12-15,Financials,XLF,buy,0.048427,54.5156,,
2025-12-29,Consumer Discretionary,XLY,sell,0.05444156572879044,120.9946,121.075,-0.0335
2025-12-29,Materials,XLB,buy,0.028548,45.3679,,
2026-01-12,Financials,XLF,sell,0.04842714652850311,54.5156,54.5575,-0.0233
2026-01-12,Consumer Discretionary,XLY,buy,0.038166,123.3758,,
2026-01-20,Consumer Discretionary,XLY,sell,0.038165751479178,123.3758,119.8001,-2.9953
2026-01-20,Energy,XLE,buy,0.087826,47.4357,,
2026-02-02,Materials,XLB,sell,0.028548421313813632,45.3679,48.8493,7.5662
2026-02-02,Consumer Staples,XLP,buy,0.087656,82.7172,,
2026-02-17,Consumer Staples,XLP,sell,0.08765607642878614,82.7172,88.5142,6.9012
2026-02-17,Materials,XLB,buy,0.08258,52.2712,,
2026-02-23,Materials,XLB,sell,0.08258012107437396,52.2712,52.0629,-0.498
2026-02-23,Utilities,XLU,buy,0.096804,45.8546,,
2026-03-23,Energy,XLE,sell,0.08782580421242359,47.4357,57.4755,21.0439
2026-03-23,Utilities,XLU,sell,0.09680445886081412,45.8546,44.6449,-2.7353
2026-04-13,Technology,XLK,buy,0.065724,142.1605,,
2026-04-13,Materials,XLB,buy,0.065706,51.4974,,
2026-04-27,Materials,XLB,sell,0.06570636051793488,51.4974,51.8063,0.4992
2026-04-27,Consumer Discretionary,XLY,buy,0.115064,117.8551,,
2026-05-18,Consumer Discretionary,XLY,sell,0.11506428391722245,117.8551,116.2683,-1.445
2026-05-18,Energy,XLE,buy,0.100055,58.7066,,
2026-05-26,Energy,XLE,sell,0.10005453186597779,58.7066,58.4485,-0.5392
2026-05-26,Healthcare,XLV,buy,0.035201,149.2916,,
2026-06-22,Healthcare,XLV,sell,0.035201382659262315,149.2916,149.33,-0.0742
2026-06-22,Industrials,XLI,buy,0.068711,180.78,,
2026-06-29,Technology,XLK,sell,0.0657239514428758,142.1605,183.12,28.6834
2026-06-29,Healthcare,XLV,buy,0.080143,160.7,,
2026-07-06,Industrials,XLI,sell,0.06871105111260101,180.78,184.7,2.0663
2026-07-06,Financials,XLF,buy,0.079453,55.85,,
